./arch/arm/common/krait-l2-accessors.c, 1029, 183
./arch/arm/common/locomo.c, 20080, 3483
./arch/arm/common/mcpm_entry.c, 8898, 4271
./arch/arm/common/mcpm_platsmp.c, 1895, 457
./arch/arm/common/sa1111.c, 30651, 7420
./arch/arm/common/scoop.c, 5910, 781
./arch/arm/common/sharpsl_param.c, 1194, 721
./arch/arm/crypto/aes-ce-glue.c, 11347, 824
./arch/arm/crypto/aes-cipher-glue.c, 1685, 314
./arch/arm/crypto/aes-neonbs-glue.c, 10760, 300
./arch/arm/crypto/chacha-neon-glue.c, 4939, 722
./arch/arm/crypto/crc32-ce-glue.c, 5317, 418
./arch/arm/crypto/crct10dif-ce-glue.c, 1774, 334
./arch/arm/crypto/ghash-ce-glue.c, 9502, 337
./arch/arm/crypto/nhpoly1305-neon-glue.c, 1896, 205
./arch/arm/crypto/sha1-ce-glue.c, 2002, 326
./arch/arm/crypto/sha1_glue.c, 1793, 673
./arch/arm/crypto/sha1_neon_glue.c, 2106, 766
./arch/arm/crypto/sha2-ce-glue.c, 2582, 324
./arch/arm/crypto/sha256_glue.c, 2795, 619
./arch/arm/crypto/sha256_neon_glue.c, 2118, 510
./arch/arm/crypto/sha512-glue.c, 2803, 309
./arch/arm/crypto/sha512-neon-glue.c, 2187, 319
./arch/arm/firmware/trusted_foundations.c, 2067, 723
./arch/arm/kernel/ptrace.c, 17747, 5766
./arch/arm/kernel/arch_timer.c, 705, 341
./arch/arm/kernel/armksyms.c, 3825, 561
./arch/arm/kernel/asm-offsets.c, 7231, 712
./arch/arm/kernel/atags_compat.c, 5449, 1156
./arch/arm/kernel/atags_parse.c, 4890, 1107
./arch/arm/kernel/atags_proc.c, 1462, 142
./arch/arm/kernel/bios32.c, 11183, 5207
./arch/arm/kernel/bugs.c, 279, 0
./arch/arm/kernel/cpuidle.c, 1825, 2474
./arch/arm/kernel/crash_dump.c, 541, 975
./arch/arm/kernel/devtree.c, 4258, 2381
./arch/arm/kernel/dma-isa.c, 3962, 1197
./arch/arm/kernel/dma.c, 4430, 938
./arch/arm/kernel/early_printk.c, 792, 299
./arch/arm/kernel/efi.c, 1476, 699
./arch/arm/kernel/elf.c, 2288, 673
./arch/arm/kernel/fiq.c, 2437, 1255
./arch/arm/kernel/ftrace.c, 4923, 647
./arch/arm/kernel/head-inflate-data.c, 919, 1143
./arch/arm/kernel/hibernate.c, 1326, 1525
./arch/arm/kernel/hw_breakpoint.c, 19929, 7876
./arch/arm/kernel/insn.c, 1382, 0
./arch/arm/kernel/io.c, 1393, 420
./arch/arm/kernel/irq.c, 1811, 1291
./arch/arm/kernel/isa.c, 1211, 471
./arch/arm/kernel/jump_label.c, 815, 0
./arch/arm/kernel/kgdb.c, 5336, 1359
./arch/arm/kernel/machine_kexec.c, 4036, 1054
./arch/arm/kernel/module-plts.c, 5281, 2359
./arch/arm/kernel/module.c, 9877, 1970
./arch/arm/kernel/opcodes.c, 783, 1492
./arch/arm/kernel/paravirt.c, 265, 548
./arch/arm/kernel/patch.c, 2952, 0
./arch/arm/kernel/perf_callchain.c, 2226, 960
./arch/arm/kernel/perf_event_v6.c, 14931, 4110
./arch/arm/kernel/perf_event_v7.c, 55194, 10668
./arch/arm/kernel/perf_event_xscale.c, 19637, 1195
./arch/arm/kernel/perf_regs.c, 812, 0
./arch/arm/kernel/pj4-cp0.c, 2120, 786
./arch/arm/kernel/process.c, 9720, 1493
./arch/arm/kernel/psci_smp.c, 1651, 1631
./arch/arm/kernel/reboot.c, 1605, 2705
./arch/arm/kernel/return_address.c, 959, 392
./arch/arm/kernel/setup.c, 27069, 5550
./arch/arm/kernel/signal.c, 13567, 4602
./arch/arm/kernel/smp.c, 13075, 5471
./arch/arm/kernel/smp_scu.c, 2230, 961
./arch/arm/kernel/smp_tlb.c, 5023, 1424
./arch/arm/kernel/smp_twd.c, 6495, 1464
./arch/arm/kernel/stacktrace.c, 3336, 1041
./arch/arm/kernel/suspend.c, 1951, 902
./arch/arm/kernel/swp_emulate.c, 4924, 1978
./arch/arm/kernel/sys_arm.c, 518, 581
./arch/arm/kernel/sys_oabi-compat.c, 9433, 2830
./arch/arm/kernel/tcm.c, 7438, 4433
./arch/arm/kernel/thumbee.c, 1239, 770
./arch/arm/kernel/time.c, 1975, 647
./arch/arm/kernel/topology.c, 5343, 3470
./arch/arm/kernel/traps.c, 15869, 4411
./arch/arm/kernel/unwind.c, 11040, 3003
./arch/arm/kernel/v7m.c, 280, 250
./arch/arm/kernel/vdso.c, 6426, 2634
./arch/arm/kernel/xscale-cp0.c, 2758, 1366
./arch/arm/kvm/coproc.c, 31626, 8699
./arch/arm/kvm/coproc_a15.c, 580, 1201
./arch/arm/kvm/coproc_a7.c, 572, 1296
./arch/arm/kvm/emulate.c, 3852, 1535
./arch/arm/kvm/guest.c, 7510, 1517
./arch/arm/kvm/handle_exit.c, 3221, 1958
./arch/arm/kvm/reset.c, 1274, 1538
./arch/arm/kvm/vgic-v3-coproc.c, 337, 578
./arch/arm/kvm/hyp/banked-sr.c, 2759, 897
./arch/arm/kvm/hyp/cp15-sr.c, 2494, 802
./arch/arm/kvm/hyp/s2-setup.c, 327, 667
./arch/arm/kvm/hyp/switch.c, 4847, 2007
./arch/arm/kvm/hyp/tlb.c, 769, 1360
./arch/arm/lib/delay.c, 2152, 907
./arch/arm/lib/uaccess_with_memcpy.c, 5005, 1541
./arch/arm/lib/xor-neon.c, 665, 697
./arch/arm/mach-actions/platsmp.c, 2977, 705
./arch/arm/mach-alpine/alpine_cpu_pm.c, 1213, 869
./arch/arm/mach-alpine/alpine_machine.c, 226, 598
./arch/arm/mach-alpine/platsmp.c, 807, 592
./arch/arm/mach-artpec/board-artpec6.c, 1366, 299
./arch/arm/mach-at91/at91rm9200.c, 487, 228
./arch/arm/mach-at91/at91sam9.c, 475, 186
./arch/arm/mach-at91/pm.c, 16535, 3145
./arch/arm/mach-at91/pm_data-offsets.c, 577, 0
./arch/arm/mach-at91/sama5.c, 1108, 233
./arch/arm/mach-at91/samv7.c, 395, 163
./arch/arm/mach-axxia/axxia.c, 268, 598
./arch/arm/mach-axxia/platsmp.c, 1620, 574
./arch/arm/mach-berlin/berlin.c, 437, 316
./arch/arm/mach-berlin/platsmp.c, 2279, 552
./arch/arm/mach-clps711x/board-dt.c, 1862, 313
./arch/arm/mach-cns3xxx/cns3420vb.c, 5407, 988
./arch/arm/mach-cns3xxx/core.c, 9340, 2026
./arch/arm/mach-cns3xxx/devices.c, 2132, 563
./arch/arm/mach-cns3xxx/pcie.c, 6863, 1371
./arch/arm/mach-cns3xxx/pm.c, 2199, 637
./arch/arm/mach-davinci/da8xx-dt.c, 550, 320
./arch/arm/mach-davinci/board-da830-evm.c, 15008, 1356
./arch/arm/mach-davinci/board-da850-evm.c, 34537, 2879
./arch/arm/mach-davinci/board-dm355-evm.c, 9203, 2026
./arch/arm/mach-davinci/board-dm355-leopard.c, 5832, 1417
./arch/arm/mach-davinci/board-dm365-evm.c, 16783, 3335
